Havaintoasema,Vuosi,Kuukausi,Päivä,Aika [Paikallinen aika],Keskituulen nopeus [m/s]
Vaasa Klemettilä,2024,9,10,03:00,5.7
Vaasa Klemettilä,2024,9,10,04:00,6.1
Vaasa Klemettilä,2024,9,10,05:00,6.3
Vaasa Klemettilä,2024,9,10,06:00,6.4
Vaasa Klemettilä,2024,9,10,07:00,5.8
Vaasa Klemettilä,2024,9,10,08:00,6.3
Vaasa Klemettilä,2024,9,10,09:00,6.8
Vaasa Klemettilä,2024,9,10,10:00,7.7
Vaasa Klemettilä,2024,9,10,11:00,8.3
Vaasa Klemettilä,2024,9,10,12:00,8.3
Vaasa Klemettilä,2024,9,10,13:00,9.7
Vaasa Klemettilä,2024,9,10,14:00,9.4
Vaasa Klemettilä,2024,9,10,15:00,9.7
Vaasa Klemettilä,2024,9,10,16:00,9.8
Vaasa Klemettilä,2024,9,10,17:00,9.5
Vaasa Klemettilä,2024,9,10,18:00,9.7
Vaasa Klemettilä,2024,9,10,19:00,8.8
Vaasa Klemettilä,2024,9,10,20:00,8
Vaasa Klemettilä,2024,9,10,21:00,7.3
Vaasa Klemettilä,2024,9,10,22:00,6.4
Vaasa Klemettilä,2024,9,10,23:00,5.8
Vaasa Klemettilä,2024,9,11,00:00,6.1
Vaasa Klemettilä,2024,9,11,01:00,6.2
Vaasa Klemettilä,2024,9,11,02:00,4.5
Vaasa Klemettilä,2024,9,11,03:00,4.4
Vaasa Klemettilä,2024,9,11,04:00,3.7
Vaasa Klemettilä,2024,9,11,05:00,3.5
Vaasa Klemettilä,2024,9,11,06:00,4.2
Vaasa Klemettilä,2024,9,11,07:00,3.9
Vaasa Klemettilä,2024,9,11,09:00,4.2
Vaasa Klemettilä,2024,9,11,10:00,4.4
Vaasa Klemettilä,2024,9,11,11:00,5.4
Vaasa Klemettilä,2024,9,11,12:00,5.3
Vaasa Klemettilä,2024,9,11,13:00,5.3
Vaasa Klemettilä,2024,9,11,14:00,6
Vaasa Klemettilä,2024,9,11,15:00,5.3
Vaasa Klemettilä,2024,9,11,16:00,5.4
Vaasa Klemettilä,2024,9,11,17:00,5.5
Vaasa Klemettilä,2024,9,11,18:00,5.2
Vaasa Klemettilä,2024,9,11,19:00,4.7
Vaasa Klemettilä,2024,9,11,20:00,6
Vaasa Klemettilä,2024,9,11,21:00,5.7
Vaasa Klemettilä,2024,9,11,22:00,7.1
Vaasa Klemettilä,2024,9,11,23:00,7.3
Vaasa Klemettilä,2024,9,12,00:00,7.3
Vaasa Klemettilä,2024,9,12,01:00,7.8
Vaasa Klemettilä,2024,9,12,02:00,6.9
Vaasa Klemettilä,2024,9,12,03:00,7.2
Vaasa Klemettilä,2024,9,12,04:00,6
Vaasa Klemettilä,2024,9,12,05:00,6.5
Vaasa Klemettilä,2024,9,12,06:00,4.9
Vaasa Klemettilä,2024,9,12,07:00,4.3
Vaasa Klemettilä,2024,9,12,08:00,3.2
Vaasa Klemettilä,2024,9,12,09:00,3
Vaasa Klemettilä,2024,9,12,10:00,3.1
Vaasa Klemettilä,2024,9,12,11:00,3
Vaasa Klemettilä,2024,9,12,12:00,3.8
Vaasa Klemettilä,2024,9,12,13:00,4.7
Vaasa Klemettilä,2024,9,12,14:00,4.8
Vaasa Klemettilä,2024,9,12,15:00,4.1
Vaasa Klemettilä,2024,9,12,16:00,4.2
Vaasa Klemettilä,2024,9,12,17:00,4
Vaasa Klemettilä,2024,9,12,18:00,3.8
Vaasa Klemettilä,2024,9,12,19:00,3
Vaasa Klemettilä,2024,9,12,20:00,2.4
Vaasa Klemettilä,2024,9,12,21:00,2.1
Vaasa Klemettilä,2024,9,12,22:00,2.3
Vaasa Klemettilä,2024,9,12,23:00,2.4
Vaasa Klemettilä,2024,9,13,00:00,2.3
Vaasa Klemettilä,2024,9,13,01:00,2.2
Vaasa Klemettilä,2024,9,13,02:00,2.5
Vaasa Klemettilä,2024,9,13,03:00,2.3
Vaasa Klemettilä,2024,9,13,04:00,1.5
Vaasa Klemettilä,2024,9,13,05:00,2.3
Vaasa Klemettilä,2024,9,13,06:00,1.8
Vaasa Klemettilä,2024,9,13,07:00,2.2
Vaasa Klemettilä,2024,9,13,08:00,1.6
Vaasa Klemettilä,2024,9,13,09:00,1.2
Vaasa Klemettilä,2024,9,13,10:00,1.5
Vaasa Klemettilä,2024,9,13,11:00,1.7
Vaasa Klemettilä,2024,9,13,12:00,2.3
Vaasa Klemettilä,2024,9,13,13:00,1.8
Vaasa Klemettilä,2024,9,13,14:00,1.6
Vaasa Klemettilä,2024,9,13,15:00,1.9
Vaasa Klemettilä,2024,9,13,16:00,2.1
Vaasa Klemettilä,2024,9,13,17:00,1.7
Vaasa Klemettilä,2024,9,13,18:00,2.5
Vaasa Klemettilä,2024,9,13,19:00,2.2
Vaasa Klemettilä,2024,9,13,20:00,2.1
Vaasa Klemettilä,2024,9,13,21:00,2.3
Vaasa Klemettilä,2024,9,13,22:00,2
Vaasa Klemettilä,2024,9,13,23:00,2
Vaasa Klemettilä,2024,9,14,00:00,2
Vaasa Klemettilä,2024,9,14,01:00,1.9
Vaasa Klemettilä,2024,9,14,02:00,2
Vaasa Klemettilä,2024,9,14,03:00,1.9
Vaasa Klemettilä,2024,9,14,04:00,1.7
Vaasa Klemettilä,2024,9,14,05:00,2.4
Vaasa Klemettilä,2024,9,14,06:00,1.9
Vaasa Klemettilä,2024,9,14,07:00,2.3
Vaasa Klemettilä,2024,9,14,08:00,2.9
Vaasa Klemettilä,2024,9,14,09:00,3.3
Vaasa Klemettilä,2024,9,14,10:00,3.8
Vaasa Klemettilä,2024,9,14,11:00,3.5
Vaasa Klemettilä,2024,9,14,12:00,4.4
Vaasa Klemettilä,2024,9,14,13:00,4.7
Vaasa Klemettilä,2024,9,14,14:00,5
Vaasa Klemettilä,2024,9,14,15:00,5.4
Vaasa Klemettilä,2024,9,14,16:00,5
Vaasa Klemettilä,2024,9,14,17:00,5
Vaasa Klemettilä,2024,9,14,18:00,4.9
Vaasa Klemettilä,2024,9,14,19:00,3.3
Vaasa Klemettilä,2024,9,14,20:00,2.8
Vaasa Klemettilä,2024,9,14,21:00,2.8
Vaasa Klemettilä,2024,9,14,22:00,3.2
Vaasa Klemettilä,2024,9,14,23:00,3.3
Vaasa Klemettilä,2024,9,15,00:00,3.5
Vaasa Klemettilä,2024,9,15,01:00,3.6
Vaasa Klemettilä,2024,9,15,02:00,3.4
Vaasa Klemettilä,2024,9,15,03:00,3.3
Vaasa Klemettilä,2024,9,15,04:00,3.2
Vaasa Klemettilä,2024,9,15,05:00,3.4
Vaasa Klemettilä,2024,9,15,06:00,3.1
Vaasa Klemettilä,2024,9,15,07:00,3.8
Vaasa Klemettilä,2024,9,15,08:00,3.6
Vaasa Klemettilä,2024,9,15,09:00,3.2
Vaasa Klemettilä,2024,9,15,10:00,3.2
Vaasa Klemettilä,2024,9,15,11:00,3.2
Vaasa Klemettilä,2024,9,15,12:00,4.1
Vaasa Klemettilä,2024,9,15,13:00,2.9
Vaasa Klemettilä,2024,9,15,14:00,3
Vaasa Klemettilä,2024,9,15,15:00,3.4
Vaasa Klemettilä,2024,9,15,16:00,3.3
Vaasa Klemettilä,2024,9,15,17:00,3.5
Vaasa Klemettilä,2024,9,15,18:00,3.5
Vaasa Klemettilä,2024,9,15,19:00,3.1
Vaasa Klemettilä,2024,9,15,20:00,2.2
Vaasa Klemettilä,2024,9,15,21:00,1.8
Vaasa Klemettilä,2024,9,15,22:00,2
Vaasa Klemettilä,2024,9,15,23:00,1.6
Vaasa Klemettilä,2024,9,16,00:00,2.4
Vaasa Klemettilä,2024,9,16,01:00,2.7
Vaasa Klemettilä,2024,9,16,02:00,2.6
Vaasa Klemettilä,2024,9,16,03:00,3
Vaasa Klemettilä,2024,9,16,04:00,3.5
Vaasa Klemettilä,2024,9,16,05:00,3.2
Vaasa Klemettilä,2024,9,16,06:00,3.5
Vaasa Klemettilä,2024,9,16,07:00,3.4
Vaasa Klemettilä,2024,9,16,08:00,3.6
Vaasa Klemettilä,2024,9,16,09:00,3.6
Vaasa Klemettilä,2024,9,16,10:00,3
Vaasa Klemettilä,2024,9,16,11:00,2.5
Vaasa Klemettilä,2024,9,16,12:00,2.5
Vaasa Klemettilä,2024,9,16,13:00,2.3
Vaasa Klemettilä,2024,9,16,14:00,2.7
Vaasa Klemettilä,2024,9,16,15:00,2.9
Vaasa Klemettilä,2024,9,16,16:00,3.3
Vaasa Klemettilä,2024,9,16,18:00,2.8
Vaasa Klemettilä,2024,9,16,19:00,2.5
Vaasa Klemettilä,2024,9,16,20:00,1.7
Vaasa Klemettilä,2024,9,16,21:00,1.1
Vaasa Klemettilä,2024,9,16,22:00,1.4
Vaasa Klemettilä,2024,9,16,23:00,1.8
Vaasa Klemettilä,2024,9,17,00:00,2.3
Vaasa Klemettilä,2024,9,17,01:00,2.2
Vaasa Klemettilä,2024,9,17,02:00,2.9
Vaasa Klemettilä,2024,9,17,03:00,3.5
Vaasa Klemettilä,2024,9,17,04:00,2.9
Vaasa Klemettilä,2024,9,17,05:00,3.2
Vaasa Klemettilä,2024,9,17,06:00,3.1
Vaasa Klemettilä,2024,9,17,07:00,3
Vaasa Klemettilä,2024,9,17,08:00,2.2
Vaasa Klemettilä,2024,9,17,09:00,2.2
Vaasa Klemettilä,2024,9,17,10:00,2.2
Vaasa Klemettilä,2024,9,17,11:00,2.6
Vaasa Klemettilä,2024,9,17,12:00,2.3
Vaasa Klemettilä,2024,9,17,13:00,3.6
Vaasa Klemettilä,2024,9,17,14:00,3.6
Vaasa Klemettilä,2024,9,17,15:00,3.5
Vaasa Klemettilä,2024,9,17,16:00,3.7
Vaasa Klemettilä,2024,9,17,17:00,4.3
Vaasa Klemettilä,2024,9,17,18:00,2.9
Vaasa Klemettilä,2024,9,17,19:00,2.5
Vaasa Klemettilä,2024,9,17,20:00,2.9
Vaasa Klemettilä,2024,9,17,21:00,3.1
Vaasa Klemettilä,2024,9,17,22:00,2.6
Vaasa Klemettilä,2024,9,17,23:00,2.9
Vaasa Klemettilä,2024,9,18,00:00,2.9
Vaasa Klemettilä,2024,9,18,01:00,2.7
Vaasa Klemettilä,2024,9,18,02:00,2.8
Vaasa Klemettilä,2024,9,18,03:00,3
Vaasa Klemettilä,2024,9,18,05:00,3
Vaasa Klemettilä,2024,9,18,06:00,3.2
Vaasa Klemettilä,2024,9,18,07:00,3.3
Vaasa Klemettilä,2024,9,18,08:00,3.1
Vaasa Klemettilä,2024,9,18,09:00,3.6
Vaasa Klemettilä,2024,9,18,10:00,3.6
Vaasa Klemettilä,2024,9,18,11:00,4.8
Vaasa Klemettilä,2024,9,18,12:00,5
Vaasa Klemettilä,2024,9,18,13:00,5.6
Vaasa Klemettilä,2024,9,18,14:00,5.3
Vaasa Klemettilä,2024,9,18,15:00,5.6
Vaasa Klemettilä,2024,9,18,16:00,4.7
Vaasa Klemettilä,2024,9,18,17:00,4.5
Vaasa Klemettilä,2024,9,18,18:00,4.2
Vaasa Klemettilä,2024,9,18,19:00,3.3
Vaasa Klemettilä,2024,9,18,20:00,3.3
Vaasa Klemettilä,2024,9,18,21:00,2.8
Vaasa Klemettilä,2024,9,18,22:00,2.4
Vaasa Klemettilä,2024,9,18,23:00,2.7
Vaasa Klemettilä,2024,9,19,00:00,2.8
Vaasa Klemettilä,2024,9,19,01:00,2.3
Vaasa Klemettilä,2024,9,19,02:00,2.4
Vaasa Klemettilä,2024,9,19,03:00,2.8
Vaasa Klemettilä,2024,9,19,04:00,2.8
Vaasa Klemettilä,2024,9,19,05:00,2.3
Vaasa Klemettilä,2024,9,19,06:00,2.6
Vaasa Klemettilä,2024,9,19,07:00,2
Vaasa Klemettilä,2024,9,19,08:00,2.6
Vaasa Klemettilä,2024,9,19,09:00,3.1
Vaasa Klemettilä,2024,9,19,10:00,3.2
Vaasa Klemettilä,2024,9,19,11:00,4
Vaasa Klemettilä,2024,9,19,12:00,4.3
Vaasa Klemettilä,2024,9,19,13:00,4.6
Vaasa Klemettilä,2024,9,19,14:00,5.3
Vaasa Klemettilä,2024,9,19,15:00,5.1
Vaasa Klemettilä,2024,9,19,16:00,5.4
Vaasa Klemettilä,2024,9,19,17:00,5
Vaasa Klemettilä,2024,9,19,18:00,5.1
Vaasa Klemettilä,2024,9,19,19:00,4.8
Vaasa Klemettilä,2024,9,19,20:00,4.9
Vaasa Klemettilä,2024,9,19,21:00,5.2
Vaasa Klemettilä,2024,9,19,22:00,4.8
Vaasa Klemettilä,2024,9,19,23:00,3.8
Vaasa Klemettilä,2024,9,20,00:00,3.4
Vaasa Klemettilä,2024,9,20,01:00,3.4
Vaasa Klemettilä,2024,9,20,02:00,2.9
Vaasa Klemettilä,2024,9,20,03:00,1.6
Vaasa Klemettilä,2024,9,20,04:00,3.9
Vaasa Klemettilä,2024,9,20,05:00,3.8
Vaasa Klemettilä,2024,9,20,06:00,3.5
Vaasa Klemettilä,2024,9,20,07:00,3.1
Vaasa Klemettilä,2024,9,20,08:00,3.1
Vaasa Klemettilä,2024,9,20,09:00,3
Vaasa Klemettilä,2024,9,20,10:00,3.2
Vaasa Klemettilä,2024,9,20,11:00,3.8
Vaasa Klemettilä,2024,9,20,12:00,2.8
Vaasa Klemettilä,2024,9,20,13:00,2.9
Vaasa Klemettilä,2024,9,20,14:00,3.5
Vaasa Klemettilä,2024,9,20,15:00,4.1
Vaasa Klemettilä,2024,9,20,16:00,4.9
Vaasa Klemettilä,2024,9,20,17:00,4.7
Vaasa Klemettilä,2024,9,20,18:00,4
Vaasa Klemettilä,2024,9,20,19:00,3.8
Vaasa Klemettilä,2024,9,20,20:00,2.8
Vaasa Klemettilä,2024,9,20,21:00,2.6
Vaasa Klemettilä,2024,9,20,22:00,2.7
Vaasa Klemettilä,2024,9,20,23:00,2.7
Vaasa Klemettilä,2024,9,21,00:00,2.9
Vaasa Klemettilä,2024,9,21,01:00,2.9
Vaasa Klemettilä,2024,9,21,02:00,3.9
Vaasa Klemettilä,2024,9,21,03:00,3.6
Vaasa Klemettilä,2024,9,21,04:00,3.6
Vaasa Klemettilä,2024,9,21,05:00,4.7
Vaasa Klemettilä,2024,9,21,06:00,3.9
Vaasa Klemettilä,2024,9,21,07:00,3.7
Vaasa Klemettilä,2024,9,21,08:00,3.4
Vaasa Klemettilä,2024,9,21,09:00,4.8
Vaasa Klemettilä,2024,9,21,11:00,6.1
Vaasa Klemettilä,2024,9,21,12:00,6.9
Vaasa Klemettilä,2024,9,21,13:00,7.2
Vaasa Klemettilä,2024,9,21,14:00,6.3
Vaasa Klemettilä,2024,9,21,15:00,6.2
Vaasa Klemettilä,2024,9,21,16:00,4.8
Vaasa Klemettilä,2024,9,21,17:00,5.2
Vaasa Klemettilä,2024,9,21,18:00,4.4
Vaasa Klemettilä,2024,9,21,19:00,3
Vaasa Klemettilä,2024,9,21,20:00,2.2
Vaasa Klemettilä,2024,9,21,21:00,1.8
Vaasa Klemettilä,2024,9,21,22:00,2.9
Vaasa Klemettilä,2024,9,21,23:00,2.5
Vaasa Klemettilä,2024,9,22,00:00,2
Vaasa Klemettilä,2024,9,22,01:00,2
Vaasa Klemettilä,2024,9,22,02:00,2.5
Vaasa Klemettilä,2024,9,22,03:00,2.1
Vaasa Klemettilä,2024,9,22,04:00,2.2
Vaasa Klemettilä,2024,9,22,05:00,2
Vaasa Klemettilä,2024,9,22,06:00,1.7
Vaasa Klemettilä,2024,9,22,07:00,1.8
Vaasa Klemettilä,2024,9,22,08:00,2.2
Vaasa Klemettilä,2024,9,22,09:00,2
Vaasa Klemettilä,2024,9,22,10:00,1.2
Vaasa Klemettilä,2024,9,22,11:00,1.3
Vaasa Klemettilä,2024,9,22,12:00,1.5
Vaasa Klemettilä,2024,9,22,13:00,2.9
Vaasa Klemettilä,2024,9,22,14:00,2.7
Vaasa Klemettilä,2024,9,22,15:00,2.9
Vaasa Klemettilä,2024,9,22,16:00,3.9
Vaasa Klemettilä,2024,9,22,17:00,3.7
Vaasa Klemettilä,2024,9,22,18:00,3.1
Vaasa Klemettilä,2024,9,22,19:00,2.1
Vaasa Klemettilä,2024,9,22,20:00,2.4
Vaasa Klemettilä,2024,9,22,21:00,1.6
Vaasa Klemettilä,2024,9,22,22:00,1.4
Vaasa Klemettilä,2024,9,22,23:00,1.5
Vaasa Klemettilä,2024,9,23,00:00,2.8
Vaasa Klemettilä,2024,9,23,01:00,3.6
Vaasa Klemettilä,2024,9,23,02:00,4
Vaasa Klemettilä,2024,9,23,03:00,5.2
Vaasa Klemettilä,2024,9,23,04:00,4.9
Vaasa Klemettilä,2024,9,23,05:00,4.6
Vaasa Klemettilä,2024,9,23,06:00,3.7
Vaasa Klemettilä,2024,9,23,07:00,3.6
Vaasa Klemettilä,2024,9,23,08:00,3.1
Vaasa Klemettilä,2024,9,23,09:00,3.6
Vaasa Klemettilä,2024,9,23,10:00,3.8
Vaasa Klemettilä,2024,9,23,11:00,3.6
Vaasa Klemettilä,2024,9,23,12:00,3.8
Vaasa Klemettilä,2024,9,23,13:00,3.5
Vaasa Klemettilä,2024,9,23,14:00,2.6
Vaasa Klemettilä,2024,9,23,15:00,3.2
Vaasa Klemettilä,2024,9,23,16:00,3.3
Vaasa Klemettilä,2024,9,23,17:00,2.4
Vaasa Klemettilä,2024,9,23,18:00,2.3
Vaasa Klemettilä,2024,9,23,19:00,3.3
Vaasa Klemettilä,2024,9,23,20:00,3.2
Vaasa Klemettilä,2024,9,23,21:00,3.4
Vaasa Klemettilä,2024,9,23,22:00,3.5
Vaasa Klemettilä,2024,9,23,23:00,3.8
Vaasa Klemettilä,2024,9,24,00:00,3.7
Vaasa Klemettilä,2024,9,24,01:00,3.7
Vaasa Klemettilä,2024,9,24,02:00,4
Vaasa Klemettilä,2024,9,24,03:00,4.7
Vaasa Klemettilä,2024,9,24,04:00,4.9
Vaasa Klemettilä,2024,9,24,05:00,5
Vaasa Klemettilä,2024,9,24,06:00,4.5
Vaasa Klemettilä,2024,9,24,07:00,4.6
Vaasa Klemettilä,2024,9,24,08:00,4.9
Vaasa Klemettilä,2024,9,24,09:00,5.1
Vaasa Klemettilä,2024,9,24,10:00,4.6
Vaasa Klemettilä,2024,9,24,11:00,4.1
Vaasa Klemettilä,2024,9,24,12:00,4.7
Vaasa Klemettilä,2024,9,24,13:00,3.9
Vaasa Klemettilä,2024,9,24,14:00,3.6
Vaasa Klemettilä,2024,9,24,15:00,4
Vaasa Klemettilä,2024,9,24,16:00,4.3
Vaasa Klemettilä,2024,9,24,17:00,4.2
Vaasa Klemettilä,2024,9,24,18:00,4
Vaasa Klemettilä,2024,9,24,19:00,4
Vaasa Klemettilä,2024,9,24,20:00,4
Vaasa Klemettilä,2024,9,24,21:00,3.4
Vaasa Klemettilä,2024,9,24,22:00,2.6
Vaasa Klemettilä,2024,9,24,23:00,2.4
Vaasa Klemettilä,2024,9,25,00:00,3.1
Vaasa Klemettilä,2024,9,25,01:00,3.3
Vaasa Klemettilä,2024,9,25,02:00,3.6
Vaasa Klemettilä,2024,9,25,03:00,4
Vaasa Klemettilä,2024,9,25,04:00,3
Vaasa Klemettilä,2024,9,25,05:00,2.9
Vaasa Klemettilä,2024,9,25,06:00,3.1
Vaasa Klemettilä,2024,9,25,07:00,4
Vaasa Klemettilä,2024,9,25,08:00,3.4
Vaasa Klemettilä,2024,9,25,09:00,4
Vaasa Klemettilä,2024,9,25,10:00,3.4
Vaasa Klemettilä,2024,9,25,11:00,3.6
Vaasa Klemettilä,2024,9,25,12:00,5.4
Vaasa Klemettilä,2024,9,25,13:00,6.6
Vaasa Klemettilä,2024,9,25,14:00,7.8
Vaasa Klemettilä,2024,9,25,15:00,8.6
Vaasa Klemettilä,2024,9,25,16:00,9.4
Vaasa Klemettilä,2024,9,25,17:00,8.7
Vaasa Klemettilä,2024,9,25,18:00,7.5
Vaasa Klemettilä,2024,9,25,19:00,7.7
Vaasa Klemettilä,2024,9,25,20:00,7.7
Vaasa Klemettilä,2024,9,25,21:00,7
Vaasa Klemettilä,2024,9,25,22:00,7.1
Vaasa Klemettilä,2024,9,25,23:00,6.8
Vaasa Klemettilä,2024,9,26,00:00,6.4
Vaasa Klemettilä,2024,9,26,01:00,7.7
Vaasa Klemettilä,2024,9,26,02:00,7.9
Vaasa Klemettilä,2024,9,26,03:00,7.7
Vaasa Klemettilä,2024,9,26,04:00,6.8
Vaasa Klemettilä,2024,9,26,05:00,7.2
Vaasa Klemettilä,2024,9,26,06:00,7.2
Vaasa Klemettilä,2024,9,26,07:00,7.2
Vaasa Klemettilä,2024,9,26,08:00,7.5
Vaasa Klemettilä,2024,9,26,09:00,8.8
Vaasa Klemettilä,2024,9,26,10:00,10.4
Vaasa Klemettilä,2024,9,26,11:00,10
Vaasa Klemettilä,2024,9,26,12:00,8.5
Vaasa Klemettilä,2024,9,26,13:00,8.1
Vaasa Klemettilä,2024,9,26,14:00,7.5
Vaasa Klemettilä,2024,9,26,15:00,7.8
Vaasa Klemettilä,2024,9,26,16:00,6.8
Vaasa Klemettilä,2024,9,26,17:00,6
Vaasa Klemettilä,2024,9,26,18:00,5.3
Vaasa Klemettilä,2024,9,26,19:00,4.8
Vaasa Klemettilä,2024,9,26,20:00,3.3
Vaasa Klemettilä,2024,9,26,21:00,3.1
Vaasa Klemettilä,2024,9,26,22:00,3.1
Vaasa Klemettilä,2024,9,26,23:00,2.7
Vaasa Klemettilä,2024,9,27,00:00,2.5
Vaasa Klemettilä,2024,9,27,01:00,2.3
Vaasa Klemettilä,2024,9,27,02:00,1.8
Vaasa Klemettilä,2024,9,27,03:00,1.6
Vaasa Klemettilä,2024,9,27,04:00,2.3
Vaasa Klemettilä,2024,9,27,05:00,2.5
