Päivä,Aika,Kalajoki,Vaasa,Kristiinankaupunki
2024-9-10,12:30:00,12.4,8.3,14.4
2024-9-11,00:30:00,15.4,6.1,12.4
2024-9-11,12:30:00,8.8,5.3,11.3
2024-9-12,00:30:00,9.6,7.3,13.9
2024-9-12,12:30:00,8.4,3.8,7.4
2024-9-13,00:30:00,4.1,2.3,6.1
2024-9-13,12:30:00,3.2,2.3,2.2
2024-9-14,00:30:00,2.3,2,5.3
2024-9-14,12:30:00,6.7,4.4,5.1
2024-9-15,00:30:00,5.2,3.5,7.6
2024-9-15,12:30:00,6.4,4.1,4.1
2024-9-16,00:30:00,6,2.4,2.8
2024-9-16,12:30:00,7.2,2.5,4.5
2024-9-17,00:30:00,4.4,2.3,1.1
2024-9-17,12:30:00,8,2.3,4.6
2024-9-18,00:30:00,5.6,2.9,2.5
2024-9-18,12:30:00,10.2,5,8.6
2024-9-19,00:30:00,6.7,2.8,4.1
2024-9-19,12:30:00,9,4.3,5
2024-9-20,00:30:00,9.6,3.4,6.7
2024-9-20,12:30:00,8.4,2.8,6.3
2024-9-21,00:30:00,10.4,2.9,7
2024-9-21,12:30:00,11.8,6.9,9.3
2024-9-22,00:30:00,6.6,2,1.7
2024-9-22,12:30:00,5.8,1.5,3.4
2024-9-23,00:30:00,5.4,2.8,10.1
2024-9-23,12:30:00,8.9,3.8,5.9
2024-9-24,00:30:00,9.3,3.7,8.1
2024-9-24,12:30:00,10.5,4.7,9
2024-9-25,00:30:00,6.8,3.1,8.3
2024-9-25,12:30:00,6.9,5.4,12.9
2024-9-26,00:30:00,12.4,6.4,16.5
2024-9-26,12:30:00,17.4,8.5,12.3
2024-9-27,00:30:00,8.9,2.5,3.6
2024-9-27,12:30:00,10.2,7,7.9
2024-9-28,00:30:00,10.4,5,9
2024-9-28,12:30:00,8,2.6,2.7
2024-9-29,00:30:00,9.3,2.3,5.3
2024-9-29,12:30:00,9.6,5.6,9
2024-9-30,00:30:00,13.2,4.3,11.1
2024-9-30,12:30:00,8.1,3.4,5.9
2024-10-1,00:30:00,12.1,4.3,11.1
2024-10-1,12:30:00,12.5,4.6,10.2
2024-10-2,00:30:00,2.9,2,3.5
2024-10-2,12:30:00,1.6,2.3,2.2
2024-10-3,00:30:00,1.9,1.2,3.6
2024-10-3,12:30:00,2.5,1.9,2.2
2024-10-4,00:30:00,7.9,2.7,2.9
2024-10-4,12:30:00,9.5,5,8.2
2024-10-5,00:30:00,10,2.4,8.6
2024-10-5,12:30:00,6,2.8,5.1
2024-10-6,00:30:00,2.1,2.9,4.5
2024-10-6,12:30:00,8,4.1,10.9
2024-10-7,00:30:00,8.3,2.2,4.2
2024-10-7,12:30:00,6.5,3.5,5.5
2024-10-8,00:30:00,6,4.1,10.6
2024-10-8,12:30:00,9.5,6,10.5
2024-10-9,00:30:00,13.2,6.1,11.4
2024-10-9,12:30:00,11,6.5,12.7
2024-10-10,00:30:00,14.5,8.2,13.8
2024-10-10,12:30:00,6.3,3.8,9.8
2024-10-11,00:30:00,13.2,6.4,14.6
2024-10-11,12:30:00,17.5,5.6,8.8
2024-10-12,00:30:00,6.2,2,6.3
2024-10-12,12:30:00,9.9,2.2,5.9
2024-10-13,00:30:00,9.1,9
2024-10-13,12:30:00,9.3,4,8.8
2024-10-14,00:30:00,5.6,2.8,5.6
2024-10-14,12:30:00,2.1,2.6,4.1
2024-10-15,00:30:00,3.8,3.1,3.4
2024-10-15,12:30:00,8,5.7,7.4
2024-10-16,00:30:00,5.9,3.3,8.4
2024-10-16,12:30:00,9,4.9,8.5
2024-10-17,00:30:00,11,4.1,11.6
2024-10-17,12:30:00,10.4,6.1,14.8
2024-10-18,00:30:00,11.3,6.6,14.2
2024-10-18,12:30:00,11,6.8,12.5
2024-10-19,00:30:00,7.5,4.1,11.3
2024-10-19,12:30:00,6.2,4.5,9.3
2024-10-20,00:30:00,6.7,5.3,10.5
2024-10-20,12:30:00,9.8,7.1,13.2
2024-10-21,00:30:00,10.6,4.8,10.4
2024-10-21,12:30:00,11.2,8.5,15.7
2024-10-22,00:30:00,15.1,8,13
2024-10-22,12:30:00,10.8,3.3,9.2
2024-10-23,00:30:00,8.6,3.9,11.4
2024-10-23,12:30:00,12.3,9.7,15
2024-10-24,00:30:00,15.1,7.9,15.4
2024-10-24,12:30:00,4.6,3.2,9.6
2024-10-25,00:30:00,4.2,2.2,5.5
2024-10-25,12:30:00,10,4.7,8.9
2024-10-26,00:30:00,9.9,4.8,10.1
2024-10-26,12:30:00,4.9,0.9,2.6
2024-10-27,00:30:00,6.5,4.8,6.5
2024-10-27,12:30:00,11.3,6.9,13.8
2024-10-28,00:30:00,10.8,5.7,10.2
2024-10-28,12:30:00,12.8,8.3,9.5
2024-10-29,00:30:00,13.7,4.8,12.7
2024-10-29,12:30:00,9.1,5.7,9.2
2024-10-30,00:30:00,16.3,7,12
2024-10-30,12:30:00,18.8,8.3,17.2
2024-10-31,00:30:00,10.3,3.3,11
2024-10-31,12:30:00,9.2,2.1,5.3
2024-11-1,00:30:00,7.7,2.6,4.7
2024-11-1,12:30:00,7.6,2.8,5.4
2024-11-2,00:30:00,9.8,8,17.2
2024-11-2,12:30:00,13.4,8.2,15.9
2024-11-3,00:30:00,12.2,1.8,11.9
2024-11-3,12:30:00,2.1,2.3,6.8
2024-11-4,00:30:00,10.7,10.5
2024-11-4,12:30:00,7,2.5,7.2
2024-11-5,00:30:00,6.1,4.5,10.3
2024-11-5,12:30:00,7.4,3.4,11.4
2024-11-6,00:30:00,8,3.3,9
2024-11-6,12:30:00,5.3,1.8,6.7
2024-11-7,00:30:00,5.8,3.1,7.4
2024-11-7,12:30:00,7.9,2.9,7.4
2024-11-8,00:30:00,7.4,3.2,5.6
2024-11-8,12:30:00,9,4.1,5.7
2024-11-9,00:30:00,11.9,3.3,7
2024-11-9,12:30:00,9.2,2.5,6.4
2024-11-10,00:30:00,2.8,0.8,3.4
2024-11-10,12:30:00,4.6,2.2,4.3
2024-11-11,00:30:00,6.8,4.6,7.1
2024-11-11,12:30:00,7.8,3.6,8.5
2024-11-12,00:30:00,6.1,3,5.1
2024-11-12,12:30:00,4.4,3.2,8.1
2024-11-13,00:30:00,8.5,4.2,5.6
2024-11-13,12:30:00,14.2,7.7,10.8
2024-11-14,00:30:00,12.4,7.3,12.2
2024-11-14,12:30:00,14.4,7.6,17.3
2024-11-15,00:30:00,12.9,6.2,14.9
2024-11-15,12:30:00,10.7,5.9,11.8
2024-11-16,00:30:00,12.6,4,8.2
2024-11-16,12:30:00,12.6,5.9,7.5
2024-11-17,00:30:00,9.9,5.9,16.8
2024-11-17,12:30:00,3.7,5.1,11.5
2024-11-18,00:30:00,6.6,5.8,10.7
2024-11-18,12:30:00,9.5,3.3,6.1
2024-11-19,00:30:00,6.2,2.4,3
2024-11-19,12:30:00,3.9,1.3,2.9
2024-11-20,00:30:00,4.5,2.4,4.6
2024-11-20,12:30:00,14.7,4.9,10.2
2024-11-21,00:30:00,21.7,9.7,16.3
2024-11-21,12:30:00,21.2,8.9,13.5
2024-11-22,00:30:00,11,3.6,6.1
2024-11-22,12:30:00,9.9,2.3,5.2
2024-11-23,00:30:00,4.3,4,10.8
2024-11-23,12:30:00,12.4,2.6,4.4
2024-11-24,00:30:00,13.2,4.9,12.8
2024-11-24,12:30:00,11.5,4.3,6.6
2024-11-25,12:30:00,12.8,9.9,15
2024-11-26,00:30:00,10,5.2,11.5
2024-11-25,00:30:00,undefined,8.5,17.7
